alert_id,anomaly_flag_id
0fbb7a9c-1488-58b1-944e-b02c1ce015f4,6fb15126-0bbe-5b1d-b1af-21684bf55883
58183051-3e3e-5833-a098-c3eb62e329a4,c542866a-d3c4-51d0-ac2e-0ccd86a4f3ce
660f44bd-de81-58dc-abf9-8eb1b541bbf6,35060ded-66a1-5ab0-8d79-49178ac8530d
45ef4d48-29e0-5587-b0d2-b3ca716abf7e,196ab1e7-2f23-5661-ba0c-0f15551ffd6e
3ec0ddea-68dd-59e3-b03a-38a6b46548ca,0edc3671-4de7-5e00-8f36-623c7ad859c8
2cf91d9d-1a34-51f4-baa3-2f487ef69b75,dd443418-8fde-507a-80a8-60ce815bb73a
1b14b3c4-e480-5a43-bdea-e1c31817d204,f54c51bf-c16b-563a-b7b5-5e50206780a1
40be3154-2647-5210-bb9c-dd68aab2b039,796f8c32-a9d0-506b-b295-b7e5c02a8608
5b338097-c5ec-555c-9770-e3ea82aa94d2,ae0ef9b5-fe14-5f20-bf61-ef98e22e3701
55dcc85f-0c3c-51dd-b992-e5538d4c5113,0cc2663d-df0c-5a54-8645-8fd9930f950b
ae815a92-8c91-5a15-95bd-1c07661e81a4,6fb15126-0bbe-5b1d-b1af-21684bf55883
76b8ca0f-73aa-5b76-8304-9297e276696b,c542866a-d3c4-51d0-ac2e-0ccd86a4f3ce
